"Date","Close"
"7/11/2021","4,327.16"
"7/18/2021","4,411.79"
"7/25/2021","4,395.26"
"8/1/2021","4,436.52"
"8/8/2021","4,468.00"
"8/15/2021","4,441.67"
"8/22/2021","4,509.37"
"8/29/2021","4,535.43"
"9/5/2021","4,458.58"
"9/12/2021","4,432.99"
"9/19/2021","4,455.48"
"9/26/2021","4,357.04"
"10/3/2021","4,391.34"
"10/10/2021","4,471.37"
"10/17/2021","4,544.90"
"10/24/2021","4,605.38"
"10/31/2021","4,697.53"
"11/7/2021","4,682.85"
"11/14/2021","4,697.96"
"11/21/2021","4,594.62"
"11/28/2021","4,538.43"
"12/5/2021","4,712.02"
"12/12/2021","4,620.64"
"12/19/2021","4,725.79"
"12/26/2021","4,766.18"
"1/2/2022","4,677.03"
"1/9/2022","4,662.85"
"1/16/2022","4,397.94"
"1/23/2022","4,431.85"
"1/30/2022","4,500.53"
"2/6/2022","4,418.64"
"2/13/2022","4,348.87"
"2/20/2022","4,384.65"
"2/27/2022","4,328.87"
"3/6/2022","4,204.31"
"3/13/2022","4,463.12"
"3/20/2022","4,543.06"
"3/27/2022","4,545.86"
"4/3/2022","4,488.28"
"4/10/2022","4,392.59"
"4/17/2022","4,271.78"
"4/24/2022","4,131.93"
"5/1/2022","4,123.34"
"5/8/2022","4,023.89"
"5/15/2022","3,901.36"
"5/22/2022","4,158.24"
"5/29/2022","4,108.54"
"6/5/2022","3,900.86"
"6/12/2022","3,674.84"
"6/19/2022","3,911.74"
"6/26/2022","3,825.33"
"7/3/2022","3,899.38"
"7/10/2022","3,863.16"
"7/17/2022","3,961.63"
"7/24/2022","4,130.29"
"7/31/2022","4,145.19"
"8/7/2022","4,280.15"
"8/14/2022","4,228.48"
"8/21/2022","4,057.66"
"8/28/2022","3,924.26"
"9/4/2022","4,067.36"
"9/11/2022","3,873.33"
"9/18/2022","3,693.23"
"9/25/2022","3,585.62"
"10/2/2022","3,639.66"
"10/9/2022","3,583.07"
"10/16/2022","3,752.75"
"10/23/2022","3,901.06"
"10/30/2022","3,770.55"
"11/6/2022","3,992.93"
"11/13/2022","3,965.34"
"11/20/2022","4,026.12"
"11/27/2022","4,071.70"
"12/4/2022","3,934.38"
"12/11/2022","3,852.36"
"12/18/2022","3,844.82"
"12/25/2022","3,839.50"
"1/1/2023","3,895.08"
"1/8/2023","3,999.09"
"1/15/2023","3,972.61"
"1/22/2023","4,070.56"
"1/29/2023","4,136.48"
"2/5/2023","4,090.46"
"2/12/2023","4,079.09"
"2/19/2023","3,970.04"
"2/26/2023","4,045.64"
"3/5/2023","3,861.59"
"3/12/2023","3,916.64"
"3/19/2023","3,970.99"
"3/26/2023","4,109.31"
"4/2/2023","4,105.02"
"4/9/2023","4,137.64"
"4/16/2023","4,133.52"
"4/23/2023","4,169.48"
"4/30/2023","4,136.25"
"5/7/2023","4,124.08"
"5/14/2023","4,191.98"
"5/21/2023","4,205.45"
"5/28/2023","4,282.37"
"6/4/2023","4,298.86"
"6/11/2023","4,409.59"
"6/18/2023","4,348.33"
"6/25/2023","4,450.38"
"7/2/2023","4,398.95"
"7/9/2023","4,505.42"
"7/16/2023","4,536.34"
"7/23/2023","4,582.23"
"7/30/2023","4,478.03"
"8/6/2023","4,464.05"
"8/13/2023","4,369.71"
"8/20/2023","4,405.71"
"8/27/2023","4,515.77"
"9/3/2023","4,457.49"
"9/10/2023","4,450.32"
"9/17/2023","4,320.06"
"9/24/2023","4,288.05"
"10/1/2023","4,308.50"
"10/8/2023","4,327.78"
"10/15/2023","4,224.16"
"10/22/2023","4,117.37"
"10/29/2023","4,358.34"
"11/5/2023","4,415.24"
"11/12/2023","4,514.02"
"11/19/2023","4,559.34"
"11/26/2023","4,594.63"
"12/3/2023","4,604.37"
"12/10/2023","4,719.19"
"12/17/2023","4,754.63"
"12/24/2023","4,769.83"
"12/31/2023","4,697.24"
"1/7/2024","4,783.83"
"1/14/2024","4,839.81"
"1/21/2024","4,890.97"
"1/28/2024","4,958.61"
"2/4/2024","5,026.61"
"2/11/2024","5,005.57"
"2/18/2024","5,088.80"
"2/25/2024","5,137.08"
"3/3/2024","5,123.69"
"3/10/2024","5,117.09"
"3/17/2024","5,234.18"
"3/24/2024","5,254.35"
"3/31/2024","5,204.34"
"4/7/2024","5,123.41"
"4/14/2024","4,967.23"
"4/21/2024","5,099.96"
"4/28/2024","5,127.79"
"5/5/2024","5,222.68"
"5/12/2024","5,303.27"
"5/19/2024","5,304.72"
"5/26/2024","5,277.51"
"6/2/2024","5,346.99"
"6/9/2024","5,431.60"
"6/16/2024","5,464.62"
"6/23/2024","5,460.48"
"6/30/2024","5,567.19"
"7/7/2024","5,615.35"
"7/14/2024","5,505.00"
"7/21/2024","5,459.10"
"7/28/2024","5,346.56"
"8/4/2024","5,344.16"
"8/11/2024","5,554.25"
"8/18/2024","5,634.61"
"8/25/2024","5,648.40"
"9/1/2024","5,408.42"
"9/8/2024","5,626.02"
"9/15/2024","5,702.55"
"9/22/2024","5,738.17"
"9/29/2024","5,751.07"
"10/6/2024","5,815.03"
"10/13/2024","5,864.67"
"10/20/2024","5,808.12"
"10/27/2024","5,728.80"
"11/3/2024","5,995.54"
"11/10/2024","5,870.62"
"11/17/2024","5,969.34"
"11/24/2024","6,032.38"
"12/1/2024","6,090.27"
"12/8/2024","6,051.09"
"12/15/2024","5,930.85"
"12/22/2024","5,970.84"
"12/29/2024","5,942.47"
"1/5/2025","5,827.04"
"1/12/2025","5,996.66"
"1/19/2025","6,101.24"
"1/26/2025","6,040.53"
"2/2/2025","6,025.99"
"2/9/2025","6,114.63"
"2/16/2025","6,013.13"
"2/23/2025","5,954.50"
"3/2/2025","5,770.20"
"3/9/2025","5,638.94"
"3/16/2025","5,667.56"
"3/23/2025","5,580.94"
"3/30/2025","5,074.08"
"4/6/2025","5,363.36"
"4/13/2025","5,282.70"
"4/20/2025","5,525.21"
"4/27/2025","5,686.67"
"5/4/2025","5,659.91"
"5/11/2025","5,958.38"
"5/18/2025","5,802.82"
"5/25/2025","5,911.69"
"6/1/2025","6,000.36"
"6/8/2025","5,976.97"
"6/15/2025","5,967.84"
"6/22/2025","6,173.07"
"6/29/2025","6,279.35"
"7/6/2025","6,259.75"
"7/13/2025","6,296.79"
"7/20/2025","6,388.64"
"7/27/2025","6,238.01"
"8/3/2025","6,389.45"
"8/10/2025","6,449.80"
"8/17/2025","6,466.91"
"8/24/2025","6,460.26"
"8/31/2025","6,481.50"
"9/7/2025","6,584.29"
"9/14/2025","6,664.36"
"9/21/2025","6,643.70"
"9/28/2025","6,715.79"
"10/5/2025","6,552.51"
"10/12/2025","6,664.01"
"10/19/2025","6,791.69"
"10/26/2025","6,840.20"
"11/2/2025","6,728.80"
"11/9/2025","6,734.11"
"11/16/2025","6,602.99"
"11/23/2025","6,849.09"
"11/30/2025","6,870.40"
"12/7/2025","6,827.41"
"12/14/2025","6,834.50"
"12/21/2025","6,929.94"
"12/28/2025","6,858.47"
"1/4/2026","6,966.28"
"1/11/2026","6,940.01"
"1/18/2026","6,915.61"
"1/25/2026","6,939.03"
"2/1/2026","6,932.30"
"2/8/2026","6,836.17"
"2/15/2026","6,909.51"
"2/22/2026","6,878.88"
"3/1/2026","6,740.02"
"3/8/2026","6,632.19"
"3/15/2026","6,506.48"
"3/22/2026","6,368.85"
"3/29/2026","6,582.69"
"4/5/2026","6,816.89"
"4/12/2026","7,126.06"
"4/19/2026","7,165.08"
"4/26/2026","7,230.12"
"5/3/2026","7,398.93"
"5/10/2026","7,408.50"
"5/17/2026","7,473.47"
"5/24/2026","7,580.06"
"5/31/2026","7,383.74"
"6/7/2026","7,431.46"
"6/14/2026","7,500.58"
"6/21/2026","7,354.02"
"6/28/2026","7,483.24"
"7/5/2026","7,543.64"
