"Date","Close"
"7/11/2021","1,438.05"
"7/18/2021","1,401.53"
"7/25/2021","1,447.23"
"8/1/2021","1,476.79"
"8/8/2021","1,484.25"
"8/15/2021","1,450.45"
"8/22/2021","1,418.57"
"8/29/2021","1,426.94"
"9/5/2021","1,448.33"
"9/12/2021","1,455.59"
"9/19/2021","1,459.94"
"9/26/2021","1,441.83"
"10/3/2021","1,476.54"
"10/10/2021","1,504.84"
"10/17/2021","1,488.71"
"10/24/2021","1,532.35"
"10/31/2021","1,531.76"
"11/7/2021","1,527.94"
"11/14/2021","1,500.05"
"11/21/2021","1,566.55"
"11/28/2021","1,503.98"
"12/5/2021","1,519.46"
"12/12/2021","1,513.56"
"12/19/2021","1,506.67"
"12/26/2021","1,535.71"
"1/2/2022","1,532.24"
"1/9/2022","1,523.57"
"1/16/2022","1,502.16"
"1/23/2022","1,532.24"
"2/6/2022","1,545.92"
"2/13/2022","1,531.47"
"2/20/2022","1,526.50"
"2/27/2022","1,525.34"
"3/6/2022","1,477.14"
"3/13/2022","1,476.94"
"3/20/2022","1,498.36"
"3/27/2022","1,542.47"
"4/3/2022","1,524.31"
"4/10/2022","1,493.74"
"4/17/2022","1,444.32"
"4/24/2022","1,417.31"
"5/1/2022","1,373.21"
"5/8/2022","1,223.76"
"5/15/2022","1,282.51"
"5/22/2022","1,335.68"
"5/29/2022","1,327.40"
"6/5/2022","1,325.69"
"6/12/2022","1,258.03"
"6/19/2022","1,235.47"
"6/26/2022","1,252.24"
"7/3/2022","1,231.54"
"7/10/2022","1,220.14"
"7/17/2022","1,228.84"
"7/24/2022","1,232.00"
"7/31/2022","1,272.06"
"8/7/2022","1,280.96"
"8/14/2022","1,294.93"
"8/21/2022","1,306.81"
"8/28/2022","1,301.44"
"9/4/2022","1,275.64"
"9/11/2022","1,252.78"
"9/18/2022","1,215.41"
"9/25/2022","1,152.01"
"10/2/2022","1,039.54"
"10/9/2022","1,061.39"
"10/16/2022","1,010.57"
"10/23/2022","1,029.49"
"10/30/2022","997.92"
"11/6/2022","948.86"
"11/13/2022","971.20"
"11/20/2022","967.49"
"11/27/2022","1,092.99"
"12/4/2022","1,065.08"
"12/11/2022","1,064.07"
"12/18/2022","1,034.13"
"12/25/2022","1,005.19"
"1/1/2023","1,057.40"
"1/8/2023","1,069.86"
"1/15/2023","1,121.92"
"1/22/2023","1,130.65"
"1/29/2023","1,085.70"
"2/5/2023","1,048.74"
"2/12/2023","1,053.72"
"2/19/2023","1,030.42"
"2/26/2023","1,013.35"
"3/5/2023","1,047.20"
"3/12/2023","1,047.71"
"3/19/2023","1,051.42"
"3/26/2023","1,073.68"
"4/2/2023","1,078.88"
"4/9/2023","1,063.43"
"4/16/2023","1,046.18"
"4/23/2023","1,051.43"
"4/30/2023","1,038.46"
"5/7/2023","1,066.44"
"5/14/2023","1,068.84"
"5/21/2023","1,060.81"
"5/28/2023","1,086.96"
"6/4/2023","1,100.85"
"6/11/2023","1,109.06"
"6/18/2023","1,126.76"
"6/25/2023","1,123.13"
"7/2/2023","1,129.43"
"7/9/2023","1,160.59"
"7/16/2023","1,186.60"
"7/23/2023","1,212.45"
"7/30/2023","1,231.42"
"8/6/2023","1,240.77"
"8/13/2023","1,190.10"
"8/20/2023","1,193.93"
"8/27/2023","1,234.53"
"9/3/2023","1,249.14"
"9/10/2023","1,238.81"
"9/17/2023","1,197.69"
"9/24/2023","1,166.26"
"10/1/2023","1,139.78"
"10/8/2023","1,166.66"
"10/15/2023","1,123.69"
"10/22/2023","1,067.57"
"10/29/2023","1,086.19"
"11/5/2023","1,109.05"
"11/12/2023","1,103.53"
"11/19/2023","1,087.34"
"11/26/2023","1,090.39"
"12/3/2023","1,114.89"
"12/10/2023","1,097.40"
"12/17/2023","1,097.45"
"12/24/2023","1,131.46"
"12/31/2023","1,161.14"
"1/7/2024","1,163.66"
"1/14/2024","1,185.23"
"1/21/2024","1,182.82"
"1/28/2024","1,174.76"
