"Date","Close"
"7/11/2021","451.63"
"7/18/2021","451.17"
"7/25/2021","438.19"
"8/1/2021","449.10"
"8/8/2021","452.34"
"8/15/2021","454.73"
"8/22/2021","449.95"
"8/29/2021","465.41"
"9/5/2021","463.41"
"9/12/2021","459.02"
"9/19/2021","460.94"
"9/26/2021","471.60"
"10/3/2021","500.46"
"10/10/2021","517.26"
"10/17/2021","516.22"
"10/24/2021","506.87"
"10/31/2021","503.79"
"11/7/2021","505.85"
"11/14/2021","513.84"
"11/21/2021","502.82"
"11/28/2021","501.87"
"12/5/2021","507.15"
"12/12/2021","502.01"
"12/19/2021","497.62"
"12/26/2021","497.10"
"1/2/2022","507.70"
"1/9/2022","509.74"
"1/16/2022","513.72"
"1/23/2022","508.18"
"1/30/2022","507.80"
"2/6/2022","518.63"
"2/13/2022","523.68"
"2/20/2022","527.70"
"2/27/2022","533.12"
"3/6/2022","535.14"
"3/13/2022","536.52"
"3/20/2022","544.18"
"3/27/2022","548.96"
"4/3/2022","557.45"
"4/10/2022","553.55"
"4/17/2022","566.44"
"4/24/2022","583.11"
"5/8/2022","533.18"
"5/15/2022","542.40"
"5/22/2022","551.89"
"5/29/2022","557.40"
"6/5/2022","544.44"
"6/12/2022","533.06"
"6/19/2022","544.03"
"6/26/2022","519.46"
"7/3/2022","511.51"
"7/10/2022","499.04"
"7/17/2022","518.07"
"7/24/2022","520.20"
"7/31/2022","536.59"
"8/7/2022","538.68"
"8/14/2022","544.69"
"8/21/2022","539.13"
"8/28/2022","541.46"
"9/4/2022","547.25"
"9/11/2022","537.50"
"9/18/2022","541.91"
"9/25/2022","534.58"
"10/2/2022","528.30"
"10/9/2022","508.94"
"10/16/2022","526.57"
"10/23/2022","530.70"
"10/30/2022","529.36"
"11/6/2022","533.93"
"11/13/2022","531.12"
"11/20/2022","526.66"
"11/27/2022","517.63"
"12/4/2022","487.71"
"12/11/2022","497.13"
"12/18/2022","487.07"
"12/25/2022","488.15"
"1/1/2023","474.97"
"1/8/2023","471.05"
"1/15/2023","491.05"
"1/22/2023","495.38"
"1/29/2023","495.77"
"2/5/2023","495.15"
"2/12/2023","496.30"
"2/19/2023","492.33"
"2/26/2023","488.70"
"3/5/2023","487.68"
"3/12/2023","482.45"
"3/19/2023","490.93"
"3/26/2023","488.29"
"4/2/2023","488.25"
"4/9/2023","495.62"
"4/16/2023","494.09"
"4/23/2023","501.01"
"4/30/2023","492.37"
"5/7/2023","484.93"
"5/14/2023","488.91"
"5/21/2023","490.21"
"5/28/2023","494.61"
"6/4/2023","497.44"
"6/11/2023","495.55"
"6/18/2023","489.85"
"6/25/2023","491.27"
"7/2/2023","491.86"
"7/9/2023","500.82"
"7/16/2023","500.62"
"7/23/2023","499.60"
"7/30/2023","498.29"
"8/6/2023","500.03"
"8/13/2023","495.60"
"8/20/2023","495.63"
"8/27/2023","502.49"
"9/3/2023","495.26"
"9/10/2023","497.95"
"9/17/2023","500.62"
"9/24/2023","493.35"
"10/1/2023","488.63"
"10/8/2023","484.88"
"10/15/2023","470.40"
"10/22/2023","459.22"
"10/29/2023","466.85"
"11/5/2023","465.45"
"11/12/2023","474.27"
"11/19/2023","478.60"
"11/26/2023","487.43"
"12/3/2023","487.25"
"12/10/2023","490.57"
"12/17/2023","491.41"
"12/24/2023","495.21"
"12/31/2023","501.72"
"1/7/2024","504.26"
"1/14/2024","497.91"
"1/21/2024","482.83"
"1/28/2024","499.60"
"2/4/2024","499.60"
"2/11/2024","512.00"
"2/18/2024","503.93"
"2/25/2024","501.08"
"3/3/2024","508.41"
"3/10/2024","507.90"
"3/17/2024","507.08"
"3/24/2024","501.16"
"3/31/2024","488.17"
"4/14/2024","466.84"
"4/21/2024","455.88"
"4/28/2024","457.92"
"5/5/2024","453.42"
"5/12/2024","464.76"
"5/19/2024","450.75"
"5/26/2024","432.25"
"6/2/2024","441.02"
"6/9/2024","417.14"
"6/16/2024","432.28"
"6/23/2024","442.97"
"6/30/2024","452.25"
"7/7/2024","458.40"
"7/14/2024","459.72"
"7/21/2024","459.50"
"7/28/2024","458.54"
"8/4/2024","455.86"
"8/11/2024","469.99"
"8/18/2024","477.80"
"8/25/2024","478.92"
"9/1/2024","481.00"
"9/8/2024","489.03"
"9/15/2024","496.59"
"9/22/2024","493.12"
"9/29/2024","479.49"
"10/6/2024","479.88"
"10/13/2024","493.58"
"10/20/2024","487.07"
"10/27/2024","469.45"
"11/3/2024","454.73"
"11/10/2024","446.40"
"11/17/2024","448.67"
"11/24/2024","438.73"
"12/1/2024","447.60"
"12/8/2024","443.33"
"12/15/2024","416.13"
"12/22/2024","423.21"
"12/29/2024","429.75"
"1/5/2025","420.89"
"1/12/2025","428.62"
"1/19/2025","427.43"
"1/26/2025","426.53"
"2/2/2025","406.85"
"2/9/2025","400.76"
"2/16/2025","401.97"
"2/23/2025","364.55"
"3/2/2025","390.54"
"3/9/2025","378.87"
"3/16/2025","361.51"
"3/23/2025","386.86"
"4/6/2025","372.01"
"4/13/2025","375.77"
"4/20/2025","389.72"
"4/27/2025","396.88"
"5/4/2025","396.85"
"5/11/2025","420.64"
"5/18/2025","426.69"
"5/25/2025","426.08"
"6/1/2025","417.15"
"6/8/2025","415.85"
"6/15/2025","397.09"
"6/22/2025","397.38"
"6/29/2025","393.11"
"7/6/2025","406.10"
"7/13/2025","406.97"
"7/20/2025","410.76"
"7/27/2025","412.26"
"8/3/2025","408.89"
"8/10/2025","424.29"
"8/17/2025","425.47"
"8/24/2025","413.46"
"8/31/2025","414.74"
"9/7/2025","417.34"
"9/14/2025","422.56"
"9/21/2025","421.51"
"9/28/2025","412.36"
"10/5/2025","415.14"
"10/12/2025","401.00"
"10/19/2025","434.30"
"10/26/2025","436.96"
"11/2/2025","444.21"
"11/9/2025","443.13"
"11/16/2025","440.24"
"11/23/2025","435.91"
"11/30/2025","440.19"
"12/7/2025","434.20"
"12/14/2025","438.56"
"12/21/2025","436.03"
"12/28/2025","438.85"
"1/4/2026","439.51"
"1/11/2026","452.48"
"1/18/2026","448.96"
"1/25/2026","429.75"
"2/1/2026","426.24"
"2/8/2026","431.88"
"2/15/2026","436.63"
"2/22/2026","439.82"
"3/1/2026","410.10"
"3/8/2026","391.86"
"3/15/2026","393.05"
"3/22/2026","390.96"
"3/29/2026","388.64"
"4/5/2026","400.29"
"4/12/2026","403.47"
"4/19/2026","381.93"
"4/26/2026","372.80"
"5/3/2026","380.55"
"5/10/2026","371.28"
"5/17/2026","354.68"
"5/24/2026","347.54"
"5/31/2026","316.03"
"6/7/2026","338.99"
"6/14/2026","344.75"
"6/21/2026","331.32"
"6/28/2026","329.10"
"7/5/2026","332.65"
