"Date","Close"
"7/11/2021","942.35"
"7/18/2021","923.24"
"7/25/2021","910.61"
"8/1/2021","908.50"
"8/8/2021","917.54"
"8/15/2021","932.27"
"8/22/2021","972.16"
"8/29/2021","1,000.64"
"9/5/2021","985.29"
"9/12/2021","974.71"
"9/19/2021","981.73"
"9/26/2021","964.99"
"10/3/2021","985.71"
"10/10/2021","987.44"
"10/17/2021","988.81"
"10/24/2021","974.67"
"10/31/2021","980.03"
"11/7/2021","979.59"
"11/14/2021","984.39"
"11/21/2021","961.93"
"11/28/2021","943.76"
"12/5/2021","962.24"
"12/12/2021","977.86"
"12/19/2021","975.13"
"12/26/2021","990.75"
"1/2/2022","985.96"
"1/9/2022","993.89"
"1/16/2022","987.06"
"1/23/2022","990.46"
"1/30/2022","1,003.29"
"2/6/2022","1,028.14"
"2/13/2022","1,035.89"
"2/20/2022","1,012.52"
"2/27/2022","1,009.68"
"3/6/2022","1,005.31"
"3/13/2022","1,015.02"
"3/20/2022","1,008.81"
"3/27/2022","1,023.66"
"4/3/2022","1,006.33"
"4/10/2022","996.54"
"4/17/2022","995.80"
"4/24/2022","983.56"
"5/1/2022","966.79"
"5/8/2022","953.06"
"5/15/2022","977.36"
"5/22/2022","987.08"
"5/29/2022","995.90"
"6/5/2022","987.61"
"6/12/2022","945.05"
"6/19/2022","950.36"
"6/26/2022","955.99"
"7/3/2022","954.36"
"7/10/2022","940.90"
"7/17/2022","950.20"
"7/24/2022","958.73"
"7/31/2022","969.41"
"8/7/2022","985.62"
"8/14/2022","983.35"
"8/21/2022","995.69"
"8/28/2022","983.99"
"9/4/2022","993.48"
"9/11/2022","981.42"
"9/18/2022","980.86"
"9/25/2022","954.44"
"10/2/2022","946.51"
"10/9/2022","937.91"
"10/16/2022","961.60"
"10/23/2022","976.57"
"10/30/2022","989.77"
"11/6/2022","1,001.30"
"11/13/2022","981.62"
"11/20/2022","983.27"
"11/27/2022","987.30"
"12/4/2022","979.01"
"12/11/2022","980.24"
"12/18/2022","978.21"
"12/25/2022","1,005.24"
"1/1/2023","1,007.61"
"1/8/2023","1,006.49"
"1/15/2023","1,001.97"
"1/22/2023","1,003.12"
"1/29/2023","1,004.22"
"2/5/2023","989.10"
"2/12/2023","990.44"
"2/19/2023","973.75"
"2/26/2023","960.90"
"3/5/2023","954.28"
"3/12/2023","940.40"
"3/19/2023","960.41"
