"Date","Close"
"7/11/2021","6,693.83"
"7/18/2021","6,520.74"
"7/25/2021","6,270.23"
"8/1/2021","6,539.91"
"8/8/2021","6,320.19"
"8/15/2021","6,633.22"
"8/22/2021","6,786.62"
"8/29/2021","6,897.13"
"9/5/2021","6,970.51"
"9/12/2021","6,912.85"
"9/19/2021","6,951.53"
"9/26/2021","6,923.60"
"10/3/2021","6,906.86"
"10/10/2021","7,213.46"
"10/17/2021","7,289.61"
"10/24/2021","7,054.70"
"10/31/2021","7,340.77"
"11/7/2021","7,382.84"
"11/14/2021","7,280.57"
"11/21/2021","7,278.44"
"11/28/2021","7,055.19"
"12/5/2021","7,192.17"
"12/12/2021","7,297.66"
"12/19/2021","7,181.86"
"12/26/2021","7,122.63"
"1/2/2022","7,011.11"
"1/9/2022","7,261.34"
"1/16/2022","7,293.52"
"1/23/2022","7,251.97"
"1/30/2022","7,456.35"
"2/6/2022","7,270.36"
"2/13/2022","7,418.79"
"2/20/2022","7,212.23"
"2/27/2022","7,342.01"
"3/6/2022","7,112.19"
"3/13/2022","7,007.63"
"3/20/2022","7,124.84"
"3/27/2022","7,152.88"
"4/3/2022","7,018.02"
"4/10/2022","6,984.90"
"4/17/2022","6,998.59"
"4/24/2022","6,731.25"
"5/1/2022","6,759.90"
"5/8/2022","6,379.17"
"5/15/2022","6,746.33"
"5/22/2022","6,726.14"
"5/29/2022","6,741.40"
"6/5/2022","6,530.04"
"6/12/2022","6,331.56"
"6/19/2022","6,217.56"
"6/26/2022","6,165.35"
"7/3/2022","6,361.82"
"7/10/2022","6,195.26"
"7/17/2022","6,263.39"
"7/24/2022","6,315.93"
"7/31/2022","6,405.50"
"8/7/2022","6,699.66"
"8/14/2022","6,863.86"
"8/21/2022","6,752.50"
"8/28/2022","6,692.65"
"9/4/2022","6,606.00"
"9/11/2022","6,548.77"
"9/18/2022","6,259.54"
"9/25/2022","5,741.07"
"10/2/2022","5,932.19"
"10/9/2022","5,904.75"
"10/16/2022","5,983.56"
"10/23/2022","6,153.43"
"10/30/2022","6,185.53"
"11/6/2022","6,286.77"
"11/13/2022","6,437.38"
"11/20/2022","6,606.94"
"11/27/2022","6,489.65"
"12/4/2022","6,580.12"
"12/11/2022","6,496.50"
"12/18/2022","6,541.03"
"12/25/2022","6,566.39"
"1/1/2023","6,667.97"
"1/8/2023","6,951.54"
"1/15/2023","7,056.62"
"1/22/2023","7,052.16"
"1/29/2023","7,027.38"
"2/5/2023","6,876.79"
"2/12/2023","6,779.02"
"2/19/2023","6,685.90"
"2/26/2023","6,655.37"
"3/5/2023","6,589.88"
"3/12/2023","6,469.72"
"3/19/2023","6,602.17"
"3/26/2023","6,499.68"
"4/2/2023","6,488.51"
"4/9/2023","6,481.91"
"4/16/2023","6,520.44"
"4/23/2023","6,625.08"
"4/30/2023","6,685.66"
"5/7/2023","6,578.15"
"5/14/2023","6,664.55"
"5/21/2023","6,530.20"
"5/28/2023","6,512.01"
"6/4/2023","6,507.15"
"6/11/2023","6,508.34"
"6/18/2023","6,393.55"
"6/25/2023","6,468.07"
"7/2/2023","6,379.03"
"7/9/2023","6,624.79"
"7/16/2023","6,647.56"
"7/23/2023","6,625.26"
"7/30/2023","6,450.84"
"8/6/2023","6,405.91"
"8/13/2023","6,290.27"
"8/20/2023","6,160.61"
"8/27/2023","6,181.06"
"9/3/2023","6,222.94"
"9/10/2023","6,126.34"
"9/17/2023","6,142.79"
"9/24/2023","6,321.24"
"10/1/2023","6,259.95"
"10/8/2023","6,266.34"
"10/15/2023","6,142.90"
"10/22/2023","5,961.99"
"10/29/2023","5,989.27"
"11/5/2023","6,161.89"
"11/12/2023","6,211.89"
"11/19/2023","6,269.50"
"11/26/2023","6,245.18"
"12/3/2023","6,234.77"
"12/10/2023","6,478.44"
"12/17/2023","6,501.00"
"12/24/2023","6,450.04"
"12/31/2023","6,629.64"
"1/7/2024","6,643.18"
"1/14/2024","6,503.54"
"1/21/2024","6,686.09"
"1/28/2024","6,707.25"
"2/4/2024","6,850.16"
"2/11/2024","6,873.23"
"2/18/2024","6,913.21"
"2/25/2024","6,919.59"
"3/3/2024","6,942.21"
"3/10/2024","6,822.32"
"3/17/2024","6,881.97"
"3/24/2024","6,903.53"
"3/31/2024","6,745.46"
"4/7/2024","6,659.39"
"4/14/2024","6,443.00"
"4/21/2024","6,628.75"
"4/28/2024","6,615.55"
"5/5/2024","6,511.93"
"5/12/2024","6,618.69"
"5/19/2024","6,619.89"
"5/26/2024","6,433.10"
"6/2/2024","6,518.76"
"6/9/2024","6,383.70"
"6/16/2024","6,158.48"
"6/23/2024","6,411.91"
"6/30/2024","6,492.75"
"7/7/2024","6,648.23"
"7/14/2024","6,791.69"
"7/21/2024","6,726.01"
"7/28/2024","6,605.30"
"8/4/2024","6,647.80"
"8/11/2024","6,847.37"
"8/18/2024","6,961.96"
"8/25/2024","6,897.54"
"9/1/2024","6,936.09"
